accident_date,accident_time,step,ad_state,acman_rec,acfem_rec,deadman_rec,deadfem_rec,cause_type
10/25/2021,11:29:29 AM,??????-??????????,????,1,0,0,0,??????
10/24/2021,12:50:50 AM,???????????,????,1,0,0,0,??????
10/24/2021,12:23:23 PM,??????-??????????,????,1,0,0,0,??????
10/24/2021,1:29:29 PM,??????-??????????,????,0,0,0,0,??????
10/24/2021,4:42:42 PM,??????-??????????,????,0,0,0,0,???????????
10/24/2021,7:29:29 PM,??????-??????????,????,0,0,0,0,??????
10/23/2021,8:03:03 AM,??????-??????????,????,0,0,0,0,?????????????
10/23/2021,7:18:18 PM,??????-??????????,????,0,0,0,0,???????????????????????
10/22/2021,10:08:08 AM,??????,????,2,2,0,0,???????????????
10/21/2021,4:57:57 AM,??????,????,1,0,0,0,???????????????????????
10/21/2021,5:55:55 AM,???????,????,0,0,0,0,??????????
10/21/2021,7:46:46 AM,??????????????????? 37,????,0,0,0,0,???????
10/20/2021,7:16:16 AM,???????,????,0,0,0,0,???????????
10/20/2021,9:10:10 PM,???????,????,0,0,0,0,???????????
10/20/2021,9:03:03 AM,??????-??????????,????,0,0,0,0,??????????????
10/20/2021,6:55:55 PM,??????????????????? 37,????,0,0,0,0,????????
10/19/2021,2:15:15 PM,??????,????,0,0,0,0,???????????????????????
10/19/2021,8:57:57 PM,??????,????,0,1,0,0,???????????????????????
10/18/2021,4:53:53 PM,??????,????,0,0,0,0,??????????????
10/18/2021,9:29:29 AM,???????,????,0,0,0,0,???????????
10/18/2021,10:38:38 PM,???????????,????,1,0,0,0,???????????????
10/17/2021,1:05:05 AM,??????,????,0,1,0,0,???????????????
10/17/2021,10:20:20 PM,??????,????,0,2,0,0,???????????????????????
10/17/2021,8:51:51 AM,???????,????,0,0,0,0,????????
10/17/2021,1:26:26 PM,???????????,????,1,0,0,0,???????????????????????
10/17/2021,4:26:26 PM,??????-????????????,????,0,0,0,0,???????????????????????
10/16/2021,11:19:19 PM,???????????,????,1,0,0,0,???????????
10/16/2021,11:50:50 PM,???????????,????,0,0,0,0,???????????
10/15/2021,4:58:58 AM,?????????,????,0,0,0,0,???????????????????????
10/15/2021,5:03:03 PM,??????-??????????,????,0,0,0,0,????????????
10/14/2021,2:41:41 PM,??????,????,0,0,0,0,??????????????????????????
10/14/2021,5:40:40 PM,???????,????,0,0,0,0,?????????????
10/14/2021,9:00:00 PM,?????????,????,0,0,0,0,???????????????
10/14/2021,12:28:28 AM,???????????,????,0,1,0,0,??????
10/12/2021,11:01:01 AM,??????,????,0,0,0,0,?????????????
10/12/2021,11:08:08 PM,??????,????,0,0,0,0,???????????????????????
10/12/2021,12:56:56 AM,???????,????,1,0,0,0,??????
10/12/2021,10:15:15 PM,?????????,????,0,0,0,0,???????????????
10/12/2021,9:09:09 AM,???????????,????,0,0,0,0,????????????
10/12/2021,4:20:20 PM,??????-??????????,????,0,0,0,0,?????????????
10/12/2021,3:34:34 PM,??????????????????? 37,????,0,0,0,0,??????
10/12/2021,8:20:20 PM,??????????????????? 37,????,0,0,0,0,???????????????????????
10/11/2021,11:18:18 AM,???????,????,0,0,0,0,???????????????????????
10/11/2021,10:34:34 AM,??????-??????????,????,0,0,0,0,???????????????
10/10/2021,3:26:26 PM,???????,????,0,0,0,0,??????
10/10/2021,8:01:01 PM,???????????,????,0,0,0,0,???????????????????????
10/9/2021,10:48:48 AM,??????,????,2,0,0,0,???????????????????????
10/9/2021,1:39:39 PM,??????-??????????,????,0,0,0,0,??????????????
10/8/2021,5:09:09 PM,???????????,????,0,0,0,0,???????????????
10/7/2021,10:19:19 AM,???????????,????,0,0,0,0,???????????????
10/5/2021,8:25:25 AM,?????????,????,1,0,0,0,???????????????
10/5/2021,10:37:37 AM,?????????,????,0,0,0,0,???????????????
10/5/2021,8:18:18 AM,??????????????????? 37,????,1,0,0,0,???????????????????????
10/4/2021,4:19:19 PM,?????????,????,2,0,0,0,??????
10/3/2021,10:43:43 AM,??????-??????????,????,1,0,0,0,???????????????
10/3/2021,9:56:56 PM,??????-????????????,????,0,0,0,0,???????????????
10/1/2021,11:25:25 AM,??????,????,0,0,0,0,???????????
10/1/2021,2:40:40 PM,??????-????????????,????,0,0,0,0,???????????
