Category,Unit,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Unemployment Rate,% of economically active population,9.733,9.967,7.767,8.2,9.5,10.067,7.8,7.7,8.9,8.267,6.533,6.033,7.067,7.833,6.0,6.067,7.1,8.867,7.6,7.333,8.433,9.167,6.867,6.233
Unemployment Rate,% of economically active population,10.633,9.633,9.667,10.333,10.0,9.133,9.3,9.267,9.6,8.667,8.833,9.0,9.0,8.033,8.3,8.4,8.1,6.833,8.933,8.267,8.333,7.633,7.967,7.767
Unemployment Rate,% of economically active population,4.567,4.2,4.0,3.767,4.1,3.767,3.633,3.533,3.633,3.467,3.333,3.167,3.367,3.067,3.1,3.067,3.633,3.867,4.1,3.733,4.1,3.7,3.233,3.033
Unemployment Rate,% of economically active population,24.933,23.1,22.667,23.567,23.4,21.2,20.267,21.267,21.2,19.0,18.333,18.7,19.233,16.933,16.367,16.8,16.7,16.667,16.167,16.233,17.1,15.8,13.033,13.367
Unemployment Rate,% of economically active population,8.8,9.067,8.533,7.233,7.033,6.867,6.933,6.1,5.7,6.067,5.967,5.367,4.767,5.4,5.233,4.5,4.667,5.4,7.433,5.9,7.133,7.333,5.733,4.867
Unemployment Rate,% of economically active population,12.167,11.633,10.933,12.267,12.2,11.033,10.6,11.2,11.567,10.7,9.333,10.8,11.033,9.7,9.133,9.867,9.367,7.933,10.2,9.7,10.667,9.633,8.833,8.933
Unemployment Rate,% of economically active population,7.767,7.2,6.6,6.433,6.567,6.033,5.533,5.367,5.4,4.9,4.633,4.533,4.733,4.367,4.3,4.333,4.267,4.833,5.3,5.0,4.833,4.333,4.0,3.733
Unemployment Rate,% of economically active population,5.067,4.833,4.8,4.333,4.333,4.467,4.1,3.867,3.967,3.9,4.0,3.633,3.733,3.467,3.867,3.733,3.633,4.633,5.267,4.867,4.8,4.933,4.067,3.544
Unemployment Rate,% of economically active population,12.7,11.367,10.967,10.833,10.433,9.3,8.733,8.433,8.067,6.967,6.733,6.9,6.933,6.5,6.367,6.9,6.867,6.367,7.867,7.367,7.1,6.7,6.267,6.333
Unemployment Rate,% of economically active population,21.0,20.0,18.933,18.667,18.767,17.233,16.4,16.533,16.733,15.3,14.567,14.467,14.733,14.033,13.9,13.767,14.433,15.333,16.233,16.133,16.0,15.267,14.6,13.333
Unemployment Rate,% of economically active population,7.6,7.5,6.333,6.367,7.167,7.267,6.267,6.033,6.6,6.833,6.0,5.867,7.167,7.033,6.6,6.267,7.6,9.0,8.667,7.9,9.667,9.833,8.233,7.467
Unemployment Rate,% of economically active population,5.333,4.633,5.1,4.6,5.267,4.4,5.0,4.533,5.2,4.6,4.4,4.633,4.933,4.167,4.567,3.9,4.5,4.567,5.233,4.933,5.833,5.033,5.1,4.602
Unemployment Rate,% of economically active population,10.864,9.401,11.265,12.095,12.694,10.198,10.534,10.267,10.528,9.635,11.067,12.328,14.659,12.935,14.1,13.265,13.541,12.804,13.333,12.899,13.531,11.892,11.73,10.993
